"id","name","code","account_type"
"l10_la_1100011","Petty Cash-LAK","1100011","asset_cash"
"l10_la_1100011_1","Petty Cash-LAK-Shop 1","1100011.1","asset_cash"
"l10_la_1100011_2","Petty Cash-LAK-Shop 2","1100011.2","asset_cash"
"l10_la_1100011_3","Petty Cash-LAK-Shop 3","1100011.3","asset_cash"
"l10_la_1100012","Petty Cash-THB","1100012","asset_cash"
"l10_la_1100012_1","Petty Cash-THB","1100012.1","asset_cash"
"l10_la_1100013","Petty Cash-USD","1100013","asset_cash"
"l10_la_1100013_1","Petty Cash-USD","1100013.1","asset_cash"
"l10_la_1100021","Cash at Bank-LAK","1100021","asset_cash"
"l10_la_1100021_1","Cash at Bank-LAK-No BrandLAK-xxxxx","1100021.1","asset_cash"
"l10_la_1100021_2","Cash at Bank-LAK-IB-No BrandLAK-xxxxx","1100021.2","asset_cash"
"l10_la_1100021_3","Cash at Bank-LAK-xxx_GOVLAK-xxxxx","1100021.3","asset_cash"
"l10_la_1100021_4","Cash at Bank-LAK-xxx_BCELLAK-xxxxx","1100021.4","asset_cash"
"l10_la_1100021_5","Cash at Bank-LAK-xxx_PSNLAK-88868","1100021.5","asset_cash"
"l10_la_1100021_6","Cash at Bank-LAK-IBLAK-xxxxx","1100021.6","asset_cash"
"l10_la_1100021_7","Cash at Bank-LAK-IBLAK-xxxxx","1100021.7","asset_cash"
"l10_la_1100022","Cash at Bank-THB","1100022","asset_cash"
"l10_la_1100022_1","Cash at Bank-THB-No BrandTHB-xxxxx","1100022.1","asset_cash"
"l10_la_1100022_2","Cash at Bank-THB-IBTHB-xxxxx","1100022.2","asset_cash"
"l10_la_1100022_3","Cash at Bank-THB-xxx BCELTHB-xxxxx","1100022.3","asset_cash"
"l10_la_1100022_4","Cash at Bank-THB-xxx_PSNTHB-xxxxx","1100022.4","asset_cash"
"l10_la_1100022_5","Cash at Bank-THB-IBTHB-xxxxx","1100022.5","asset_cash"
"l10_la_1100022_6","Cash at Bank-THB-IBTHB-xxxxx","1100022.6","asset_cash"
"l10_la_1100023","Cash at Bank-USD","1100023","asset_cash"
"l10_la_1100023_1","Cash at Bank-USD-No BrandUSD-xxxxx","1100023.1","asset_cash"
"l10_la_1100023_2","Cash at Bank-USD-IBUSD-xxxxx","1100023.2","asset_cash"
"l10_la_1100023_3","Cash at Bank-USD-xxx BCELUSD-xxxxx","1100023.3","asset_cash"
"l10_la_1100023_4","Cash at Bank-USD-xxx_PSNUSD-xxxxx","1100023.4","asset_cash"
"l10_la_1100023_5","Cash at Bank-USD-IBUSD-xxxxx","1100023.5","asset_cash"
"l10_la_1100023_6","Cash at Bank-USD-IBUSD-xxxxx","1100023.6","asset_cash"
"l10_la_1100031","Cash Transfer-LAK","1100031","asset_cash"
"l10_la_1100032","Cash Transfer-THB","1100032","asset_cash"
"l10_la_1100033","Cash Transfer-USD","1100033","asset_cash"
"l10_la_1200011","AR-Related Party","1200011","asset_receivable_related_party"
"l10_la_1200011_1","AR-Related Party","1200011.1","asset_receivable_related_party"
"l10_la_1200111","AR-Local","1200111","asset_receivable"
"l10_la_1200111_1","AR-Local","1200111.1","asset_receivable"
"l10_la_1200211","AR-Oversea","1200211","asset_receivable"
"l10_la_1200211_1","AR-Oversea","1200211.1","asset_receivable"
"l10_la_1200311","AR-Other","1200311","asset_receivable"
"l10_la_1200311_1","AR-Other","1200311.1","asset_receivable"
"l10_la_1300011","Stock Valuation","1300011","asset_inventory"
"l10_la_1300011_1","Stock Valuation-HARD LINE","1300011.1","asset_inventory"
"l10_la_1300011_2","Stock Valuation-HOME LINE","1300011.2","asset_inventory"
"l10_la_1300011_3","Stock Valuation-SOFT LINE","1300011.3","asset_inventory"
"l10_la_1300011_4","Stock Valuation-DRY FOOD","1300011.4","asset_inventory"
"l10_la_1300011_5","Stock Valuation-FRESH FOOD","1300011.5","asset_inventory"
"l10_la_1300011_6","Stock Valuation-PHARMACY","1300011.6","asset_inventory"
"l10_la_1300012","Stock In put (Received)","1300012","asset_inventory"
"l10_la_1300012_1","Stock In put (Received)-HARD LINE","1300012.1","asset_inventory"
"l10_la_1300012_2","Stock In put (Received)-HOME LINE","1300012.2","asset_inventory"
"l10_la_1300012_3","Stock In put (Received)-SOFT LINE","1300012.3","asset_inventory"
"l10_la_1300012_4","Stock In put (Received)-DRY FOOD","1300012.4","asset_inventory"
"l10_la_1300012_5","Stock In put (Received)-FRESH FOOD","1300012.5","asset_inventory"
"l10_la_1300012_6","Stock In put (Received)-PHARMACY","1300012.6","asset_inventory"
"l10_la_1300013","Stock Out Put (Delivered)","1300013","asset_inventory"
"l10_la_1300013_1","Stock Out Put (Delivered)-HARD LINE","1300013.1","asset_inventory"
"l10_la_1300013_2","Stock Out Put (Delivered)-HOME LINE","1300013.2","asset_inventory"
"l10_la_1300013_3","Stock Out Put (Delivered)-SOFT LINE","1300013.3","asset_inventory"
"l10_la_1300013_4","Stock Out Put (Delivered)-DRY FOOD","1300013.4","asset_inventory"
"l10_la_1300013_5","Stock Out Put (Delivered)-FRESH FOOD","1300013.5","asset_inventory"
"l10_la_1300013_6","Stock Out Put (Delivered)-PHARMACY","1300013.6","asset_inventory"
"l10_la_1300021","Goods in Process","1300021","asset_inventory"
"l10_la_1300021_1","Goods in Process","1300021.1","asset_inventory"
"l10_la_1300031","Goods in Transit","1300031","asset_inventory"
"l10_la_1300031_1","Goods in Transit","1300031.1","asset_inventory"
"l10_la_1300041","Materials","1300041","asset_inventory"
"l10_la_1300041_1","Materials","1300041.1","asset_inventory"
"l10_la_1300051","Other Inventory","1300051","asset_inventory"
"l10_la_1300051_1","Other Inventory","1300051.1","asset_inventory"
"l10_la_1300061","Provision for Inventories","1300061","asset_inventory"
"l10_la_1300061_1","Provision for Inventories","1300061.1","asset_inventory"
"l10_la_1300091","Non Trade Inventory","1300091","asset_inventory"
"l10_la_1300091_1","Office supply","1300091.1","asset_inventory"
"l10_la_1400011","Input VAT","1400011","asset_current"
"l10_la_1400011_1","Input VAT","1400011.1","asset_current"
"l10_la_1400111","Taxes paid in advance","1400111","asset_current"
"l10_la_1400111_1","Taxes paid in advance","1400111.1","asset_current"
"l10_la_1400211","Advances-Staff","1400211","asset_current"
"l10_la_1400211_1","Advances-Staff","1400211.1","asset_current"
"l10_la_1400311","Advances-Staff Work Related","1400311","asset_current"
"l10_la_1400311_1","Advances-Staff Work Related","1400311.1","asset_current"
"l10_la_1400411","Advances-Suppliers-OPEX","1400411","asset_current"
"l10_la_1400411_1","Advances-Suppliers-OPEX","1400411.1","asset_current"
"l10_la_1400511","Advances-Suppliers-CAPEX","1400511","asset_current"
"l10_la_1400511_1","Advances-Suppliers-CAPEX","1400511.1","asset_current"
"l10_la_1400611","Cash Deposit","1400611","asset_current"
"l10_la_1400611_1","Cash Deposit","1400611.1","asset_current"
"l10_la_1500011","Prepaid Insurance-Inventory","1500011","asset_current"
"l10_la_1500011_1","Prepaid Insurance-Inventory","1500011.1","asset_current"
"l10_la_1500012","Prepaid Insurance-Office","1500012","asset_current"
"l10_la_1500012_1","Prepaid Insurance-Office","1500012.1","asset_current"
"l10_la_1500021","Prepaid Rentals- Office","1500021","asset_current"
"l10_la_1500021_1","Prepaid Rentals- Office","1500021.1","asset_current"
"l10_la_1500022","Prepaid Rentals- Car","1500022","asset_current"
"l10_la_1500022_1","Prepaid Rentals- Car","1500022.1","asset_current"
"l10_la_1500023","Prepaid Rentals- House","1500023","asset_current"
"l10_la_1500023_1","Prepaid Rentals- House","1500023.1","asset_current"
"l10_la_1500024","Prepaid other","1500024","asset_current"
"l10_la_1500024_1","Prepaid other","1500024.1","asset_current"
"l10_la_1500111","Prepaid>12M Insurance-Inventory","1500111","asset_non_current"
"l10_la_1500111_1","Prepaid>12M Insurance-Inventory","1500111.1","asset_non_current"
"l10_la_1500112","Prepaid>12M Insurance-Office","1500112","asset_non_current"
"l10_la_1500112_1","Prepaid>12M Insurance-Office","1500112.1","asset_non_current"
"l10_la_1500121","Prepaid>12M Rentals- Office","1500121","asset_non_current"
"l10_la_1500121_1","Prepaid>12M Rentals- Office","1500121.1","asset_non_current"
"l10_la_1500122","Prepaid>12M Rentals- Car","1500122","asset_non_current"
"l10_la_1500122_1","Prepaid>12M Rentals- Car","1500122.1","asset_non_current"
"l10_la_1500123","Prepaid>12M Rentals- House","1500123","asset_non_current"
"l10_la_1500123_1","Prepaid>12M Rentals- House","1500123.1","asset_non_current"
"l10_la_1600011","Accrued Interest Income","1600011","asset_current"
"l10_la_1600011_1","Accrued Interest Income","1600011.1","asset_current"
"l10_la_1700011","Other Non Current Assets","1700011","asset_non_current"
"l10_la_1700011_1","Other Non Current Assets","1700011.1","asset_non_current"
"l10_la_1800011","Bad Debt-Related Party","1800011","asset_non_current"
"l10_la_1800011_1","Bad Debt-Related Party","1800011.1","asset_non_current"
"l10_la_1800021","Bad Debt-Trade","1800021","asset_non_current"
"l10_la_1800021_1","Bad Debt-Trade","1800021.1","asset_non_current"
"l10_la_1800031","Bad Debt-Other","1800031","asset_non_current"
"l10_la_1800031_1","Bad Debt-Other","1800031.1","asset_non_current"
"l10_la_1900011","Land-GBV","1900011","asset_property_equipment"
"l10_la_1900011_1","Land-GBV","1900011.1","asset_property_equipment"
"l10_la_1900111","Building-GBV","1900111","asset_property_equipment"
"l10_la_1900111_1","Building-GBV","1900111.1","asset_property_equipment"
"l10_la_1900211","Office Equipment-GBV","1900211","asset_property_equipment"
"l10_la_1900211_1","Office Equipment-GBV","1900211.1","asset_property_equipment"
"l10_la_1900311","Vehicles-GBV","1900311","asset_property_equipment"
"l10_la_1900311_1","Vehicles-GBV","1900311.1","asset_property_equipment"
"l10_la_1900411","Plant & Machinery-GBV","1900411","asset_property_equipment"
"l10_la_1900411_1","Plant & Machinery-GBV","1900411.1","asset_property_equipment"
"l10_la_1900511","IT Hardware-GBV","1900511","asset_property_equipment"
"l10_la_1900511_1","IT Hardware-GBV","1900511.1","asset_property_equipment"
"l10_la_1900611","Leasehold Improvements-GBV","1900611","asset_property_equipment"
"l10_la_1900611_1","Leasehold Improvements-GBV","1900611.1","asset_property_equipment"
"l10_la_1900711","Work in Progress-Office-GBV","1900711","asset_property_equipment"
"l10_la_1900711_1","Work in Progress-Office-GBV","1900711.1","asset_property_equipment"
"l10_la_1900712","Work in Progress-IT-GBV","1900712","asset_property_equipment"
"l10_la_1900712_1","Work in Progress-IT-GBV","1900712.1","asset_property_equipment"
"l10_la_1900811","IT Solfware-GBV","1900811","asset_property_equipment"
"l10_la_1900811_1","IT Solfware-GBV","1900811.1","asset_property_equipment"
"l10_la_1901111","Acc.Depr Buildings","1901111","asset_property_equipment"
"l10_la_1901111_1","Acc.Depr Buildings","1901111.1","asset_property_equipment"
"l10_la_1901211","Acc.Office Equipment","1901211","asset_property_equipment"
"l10_la_1901211_1","Acc.Office Equipment","1901211.1","asset_property_equipment"
"l10_la_1901311","Acc.Vehicles","1901311","asset_property_equipment"
"l10_la_1901311_1","Acc.Vehicles","1901311.1","asset_property_equipment"
"l10_la_1901411","Acc.Plant & Machinery","1901411","asset_property_equipment"
"l10_la_1901411_1","Acc.Plant & Machinery","1901411.1","asset_property_equipment"
"l10_la_1901511","Acc.IT Hardware","1901511","asset_property_equipment"
"l10_la_1901511_1","Acc.IT Hardware","1901511.1","asset_property_equipment"
"l10_la_1901611","Acc.Leasehold Improvements","1901611","asset_property_equipment"
"l10_la_1901611_1","Acc.Leasehold Improvements","1901611.1","asset_property_equipment"
"l10_la_1901711","Acc.IT Solfware","1901711","asset_property_equipment"
"l10_la_1901711_1","Acc.IT Solfware","1901711.1","asset_property_equipment"
"l10_la_2100011","AP-Related Party","2100011","liability_payable"
"l10_la_2100011_1","AP-Related Party","2100011.1","liability_payable"
"l10_la_2100111","AP-Local","2100111","liability_payable"
"l10_la_2100111_1","AP-Local","2100111.1","liability_payable"
"l10_la_2100211","AP-Oversea","2100211","liability_payable"
"l10_la_2100211_1","AP-Oversea","2100211.1","liability_payable"
"l10_la_2100212","AP-SSO (Employee)","2100212","liability_payable"
"l10_la_2100212_1","AP-SSO (Employee)","2100212.1","liability_payable"
"l10_la_2100311","AP-Payroll","2100311","liability_payable"
"l10_la_2100311_1","AP-Payroll","2100311.1","liability_payable"
"l10_la_2100411","AP-Provident Fund","2100411","liability_payable"
"l10_la_2100411_1","AP-Provident Fund","2100411.1","liability_payable"
"l10_la_2200011","ST Loans Bank","2200011","liability_current"
"l10_la_2200011_1","ST Loans Bank","2200011.1","liability_current"
"l10_la_2200012","ST Loans - Internal","2200012","liability_current"
"l10_la_2200012_1","ST Loans - Internal","2200012.1","liability_current"
"l10_la_2200111","Dividends payable","2200111","liability_current"
"l10_la_2200111_1","Dividends payable","2200111.1","liability_current"
"l10_la_2300011","Accr Liab-Other","2300011","liability_payable"
"l10_la_2300011_1","Accr Liab-Other","2300011.1","liability_payable"
"l10_la_2400011","Current income taxes","2400011","liability_payable"
"l10_la_2400011_1","Current income taxes","2400011.1","liability_payable"
"l10_la_2400111","Consumption Tax","2400111","liability_current"
"l10_la_2400111_1","Consumption Tax","2400111.1","liability_current"
"l10_la_2400211","Import Tax Payables","2400211","liability_current"
"l10_la_2400211_1","Import Tax Payables","2400211.1","liability_current"
"l10_la_2400311","Salary tax payable","2400311","liability_current"
"l10_la_2400311_1","Salary tax payable","2400311.1","liability_current"
"l10_la_2400411","VAT Output","2400411","liability_current"
"l10_la_2400411_1","VAT Output","2400411.1","liability_current"
"l10_la_2400511","With holdingTax","2400511","liability_current"
"l10_la_2400511_1","With holdingTax","2400511.1","liability_current"
"l10_la_2500011","Customer deposits","2500011","liability_current"
"l10_la_2500011_1","Customer deposits","2500011.1","liability_current"
"l10_la_2600011","Deferred Revenue","2600011","liability_current"
"l10_la_2600011_1","Deferred Revenue","2600011.1","liability_current"
"l10_la_2700011","Long-term bank loans-Internal","2700011","liability_borrowings"
"l10_la_2700011_1","Long-term bank loans-Internal","2700011.1","liability_borrowings"
"l10_la_2800011","Long-term bank loans-External","2800011","liability_borrowings"
"l10_la_2800011_1","Long-term bank loans-External","2800011.1","liability_borrowings"
"l10_la_3100011","Share Capital","3100011","equity_share_capital"
"l10_la_3100011_1","Share Capital","3100011.1","equity_share_capital"
"l10_la_3200011","Dividend declare","3200011","equity_retain_earn"
"l10_la_3200011_1","Dividend declare","3200011.1","equity_retain_earn"
"l10_la_3300011","Retained earnings-current year","3300011","equity_retain_earn"
"l10_la_3300011_1","Retained earnings-current year","3300011.1","equity_retain_earn"
"l10_la_3400011","Retained earnings-prior years","3400011","equity_retain_earn"
"l10_la_3400011_1","Retained earnings-prior years","3400011.1","equity_retain_earn"
"l10_la_4100011","Sales Revenue","4100011","income"
"l10_la_4100011_1","Sales Revenue-HARD LINE","4100011.1","income"
"l10_la_4100011_2","Sales Revenue-HOME LINE ","4100011.2","income"
"l10_la_4100011_3","Sales Revenue-SOFT LINE","4100011.3","income"
"l10_la_4100011_4","Sales Revenue-DRY FOOD","4100011.4","income"
"l10_la_4100011_5","Sales Revenue-FRESH FOOD","4100011.5","income"
"l10_la_4100011_6","Sales Revenue-PHARMACY","4100011.6","income"
"l10_la_4200011","Service Revenue","4200011","income"
"l10_la_4200011_1","Service Revenue","4200011.1","income"
"l10_la_4300011","Other Revenue","4300011","income"
"l10_la_4300011_1","Other Revenue","4300011.1","income"
"l10_la_5100011","Cost of Sales","5100011","expense_direct_cost"
"l10_la_5100011_1","Cost of Sales-HARD LINE","5100011.1","expense_direct_cost"
"l10_la_5100011_2","Cost of Sales-HOME LINE","5100011.2","expense_direct_cost"
"l10_la_5100011_3","Cost of Sales-SOFT LINE","5100011.3","expense_direct_cost"
"l10_la_5100011_4","Cost of Sales-DRY FOOD","5100011.4","expense_direct_cost"
"l10_la_5100011_5","Cost of Sales-FRESH FOOD","5100011.5","expense_direct_cost"
"l10_la_5100011_6","Cost of Sales-PHARMCY","5100011.6","expense_direct_cost"
"l10_la_5200011","Cost of Service","5200011","expense_direct_cost"
"l10_la_5200011_1","Cost of Service","5200011.1","expense_direct_cost"
"l10_la_5300011","Other Cost","5300011","expense_direct_cost"
"l10_la_5300011_1","Other Cost","5300011.1","expense_direct_cost"
"l10_la_6100011","Advertising","6100011","expense_market"
"l10_la_6100011_1","Advertising","6100011.1","expense_market"
"l10_la_6200011","Giveaway and Promotion","6200011","expense_market"
"l10_la_6200011_1","Discount Promotion","6200011.1","expense_market"
"l10_la_6200011_2","Gift (MKT)","6200011.2","expense_market"
"l10_la_6200011_3","MKT Cost ( print media, poster, brochure)","6200011.3","expense_market"
"l10_la_6200011_4","Sale Promotion","6200011.4","expense_market"
"l10_la_6200012","EXHIBITION","6200012","expense_market"
"l10_la_6200012_1","EXHIBITION","6200012.1","expense_market"
"l10_la_6300011","Market Research","6300011","expense_market"
"l10_la_6300011_1","Market Research","6300011.1","expense_market"
"l10_la_6400011","Public Relations","6400011","expense_market"
"l10_la_6400011_1","Public Relations","6400011.1","expense_market"
"l10_la_6500011","Marketing Consultancy","6500011","expense_market"
"l10_la_6500011_1","Marketing Consultancy","6500011.1","expense_market"
"l10_la_6600011","Loyalty & Retaintion","6600011","expense_market"
"l10_la_6600011_1","Loyalty & Retaintion","6600011.1","expense_market"
"l10_la_6700011","Selling Commission","6700011","expense_sell_commission"
"l10_la_6700011_1","Selling Commission","6700011.1","expense_sell_commission"
"l10_la_7100011","Salary-Local","7100011","expense_staff"
"l10_la_7100011_1","Salary-Local","7100011.1","expense_staff"
"l10_la_7100012","Salary-Expat","7100012","expense_staff"
"l10_la_7100012_1","Salary-Expat","7100012.1","expense_staff"
"l10_la_7100111","Bonus-Local","7100111","expense_staff"
"l10_la_7100111_1","Bonus-Local","7100111.1","expense_staff"
"l10_la_7100112","Bonus-Expat","7100112","expense_staff"
"l10_la_7100112_1","Bonus-Expat","7100112.1","expense_staff"
"l10_la_7100211","Training-Local","7100211","expense_staff"
"l10_la_7100211_1","Training-Local","7100211.1","expense_staff"
"l10_la_7100212","Training-Oversea","7100212","expense_staff"
"l10_la_7100212_1","Training-Oversea","7100212.1","expense_staff"
"l10_la_7100311","Recruitment","7100311","expense_staff"
"l10_la_7100311_1","Recruitment","7100311.1","expense_staff"
"l10_la_7100411","Uniform","7100411","expense_staff"
"l10_la_7100411_1","Uniform","7100411.1","expense_staff"
"l10_la_7100511","Welfare","7100511","expense_staff"
"l10_la_7100511_1","Welfare","7100511.1","expense_staff"
"l10_la_7100611","Other staff cost","7100611","expense_staff"
"l10_la_7100611_1","Other staff cost","7100611.1","expense_staff"
"l10_la_7100711","SSO ( Employer )","7100711","expense_staff"
"l10_la_7100711_1","SSO ( Employer )","7100711.1","expense_staff"
"l10_la_7200011","Business Travel -Local","7200011","expense_business_trip"
"l10_la_7200011_1","Business Travel -Local","7200011.1","expense_business_trip"
"l10_la_7200021","Business Travel -Oversea","7200021","expense_business_trip"
"l10_la_7200021_1","Business Travel -Oversea","7200021.1","expense_business_trip"
"l10_la_7300111","Electricity ","7300111","expense_utility"
"l10_la_7300111_1","Electricity ","7300111.1","expense_utility"
"l10_la_7300112","Water supply","7300112","expense_utility"
"l10_la_7300111_2","Water supply","7300111.2","expense_utility"
"l10_la_7300113","Drinking Water","7300113","expense_admin"
"l10_la_7300111_3","Drinking Water","7300111.3","expense_admin"
"l10_la_7300114","Telephone","7300114","expense_admin"
"l10_la_7300111_4","Telephone","7300111.4","expense_admin"
"l10_la_7300115","Internet","7300115","expense_admin"
"l10_la_7300111_5","Internet","7300111.5","expense_admin"
"l10_la_7400111","Bank Charge (auto pay)","7400111","expense_admin"
"l10_la_7400111_1","Bank Charge (auto pay)","7400111.1","expense_admin"
"l10_la_7400112","Tools","7400112","expense_admin"
"l10_la_7400011_2","Tools","7400011.2","expense_admin"
"l10_la_7400113","Stationary ( Pen , Pencil, Paper , Form , Develop)","7400113","expense_admin"
"l10_la_7400011_3","Stationary ( Pen , Pencil, Paper , Form , Develop)","7400011.3","expense_admin"
"l10_la_7400114","Beverage( sugar , Milk , Coffee … )","7400114","expense_admin"
"l10_la_7400011_4","Beverage( sugar , Milk , Coffee … )","7400011.4","expense_admin"
"l10_la_7400115","Other Management","7400115","expense_admin"
"l10_la_7400011_5","Other Management","7400011.5","expense_admin"
"l10_la_7400116","Building Repair","7400116","expense_admin"
"l10_la_7400116_1","Building Repair","7400116.1","expense_admin"
"l10_la_7400116_2","Machine Repair","7400116.2","expense_admin"
"l10_la_7400117","General Repair ( air con , photo copy , computer)","7400117","expense_admin"
"l10_la_7400117_1","General Repair ( air con , photo copy , computer)","7400117.1","expense_admin"
"l10_la_7400118","Company car repair","7400118","expense_admin"
"l10_la_7400118_1","Company car repair","7400118.1","expense_admin"
"l10_la_7400119","Fuel (Company car)","7400119","expense_admin"
"l10_la_7400119_1","Fuel (Company car)","7400119.1","expense_admin"
"l10_la_7401110","Transportation fee","7401110","expense_admin"
"l10_la_7401110_1","Transportation fee","7401110.1","expense_admin"
"l10_la_7401111","Other fee (Technique, Stamp, Customs, Document)","7401111","expense_admin"
"l10_la_7401111_1","Other fee (Technique, Stamp, Customs, Document)","7401111.1","expense_admin"
"l10_la_7401111_2","Send Document fee","7401111.2","expense_admin"
"l10_la_7401111_3","Newspaper","7401111.3","expense_admin"
"l10_la_7401112","Building insurance","7401112","expense_admin"
"l10_la_7401112_1","Building insurance","7401112.1","expense_admin"
"l10_la_7401113","Product insurance","7401113","expense_admin"
"l10_la_7401113_1","Product insurance","7401113.1","expense_admin"
"l10_la_7401114","Car Insurance","7401114","expense_admin"
"l10_la_7401114_1","Car Insurance","7401114.1","expense_admin"
"l10_la_7401115","Reception","7401115","expense_admin"
"l10_la_7401115_1","Reception","7401115.1","expense_admin"
"l10_la_7401116","Other asset","7401116","expense_admin"
"l10_la_7401116_1","Other asset","7401116.1","expense_admin"
"l10_la_7401117","Bank commission","7401117","expense_admin"
"l10_la_7401117_1","Bank commission","7401117.1","expense_admin"
"l10_la_7401118","Commission Other","7401118","expense_admin"
"l10_la_7401118_1","Commission Other","7401118.1","expense_admin"
"l10_la_7401119","Other service (garbage, parking)","7401119","expense_admin"
"l10_la_7401119_1","Other service (garbage, parking)","7401119.1","expense_admin"
"l10_la_7401120","Fine","7401120","expense_admin"
"l10_la_7401120_1","Fine","7401120.1","expense_admin"
"l10_la_7401121","Other general expenses","7401121","expense_admin"
"l10_la_7401121_1","Other general expenses","7401121.1","expense_admin"
"l10_la_7401122","Labor","7401122","expense_admin"
"l10_la_7401122_1","Labor","7401122.1","expense_admin"
"l10_la_7401123","Gift (Amusement) Government or guest","7401123","expense_admin"
"l10_la_7401123_1","Gift (Amusement) Government or guest","7401123.1","expense_admin"
"l10_la_7401124","Donation","7401124","expense_admin"
"l10_la_7401124_1","Donation","7401124.1","expense_admin"
"l10_la_7500011","Rental (rent car, machine, other )","7500011","expense_rental"
"l10_la_7500011_1","Rental (rent car, machine, other )","7500011.1","expense_rental"
"l10_la_7500111","Rent (land, building, house)","7500111","expense_rental"
"l10_la_7500111_1","Rent (land, building, house)","7500111.1","expense_rental"
"l10_la_8100111","Depr-Buildings","8100111","expense_depreciation"
"l10_la_8100111_1","Depr-Buildings","8100111.1","expense_depreciation"
"l10_la_8100211","Depr-Office Equipment","8100211","expense_depreciation"
"l10_la_8100211_1","Depr-Office Equipment","8100211.1","expense_depreciation"
"l10_la_8100311","Depr-Vehicles","8100311","expense_depreciation"
"l10_la_8100311_1","Depr-Vehicles","8100311.1","expense_depreciation"
"l10_la_8100411","Depr-Plant & Machinery","8100411","expense_depreciation"
"l10_la_8100411_1","Depr-Plant & Machinery","8100411.1","expense_depreciation"
"l10_la_8100511","Depr-IT Hardware","8100511","expense_depreciation"
"l10_la_8100511_1","Depr-IT Hardware","8100511.1","expense_depreciation"
"l10_la_8100611","Depr-Leasehold Improvements","8100611","expense_depreciation"
"l10_la_8100611_1","Depr-Leasehold Improvements","8100611.1","expense_depreciation"
"l10_la_8100711","Depr-IT Solfware","8100711","expense_depreciation"
"l10_la_8100711_1","Depr-IT Solfware","8100711.1","expense_depreciation"
"l10_la_9100111","Interest-Expenses","9100111","expense_finance_cost"
"l10_la_9100111_1","Interest-Expenses","9100111.1","expense_finance_cost"
"l10_la_9100211","Interest-Income","9100211","expense_finance_cost"
"l10_la_9100211_1","Interest-Income","9100211.1","expense_finance_cost"
"l10_la_9200111","Forex Losses","9200111","expense_finance_cost"
"l10_la_9200111_1","Forex Losses","9200111.1","expense_finance_cost"
"l10_la_9200112","Forex Gain","9200112","expense_finance_cost"
"l10_la_9200112_1","Forex Gain","9200112.1","expense_finance_cost"
"l10_la_9200211","Gain/Loss from asset disposal","9200211","expense_finance_cost"
"l10_la_9200211_1","Gain/Loss from asset disposal","9200211.1","expense_finance_cost"
"l10_la_9300111","Income Tax","9300111","expense_income_tax"
"l10_la_9300111_1","Income Tax","9300111.1","expense_income_tax"
